title	user_name	user_url	tag	app_url	source_url	rscloud_url	description	slug	contest	contest_year	contest_status	contest_description	add_to_showcase	advocate_agreed	contest_url	user_community	category	requires_api_key	api_description
CRAN Explorer	Stefan Schliebs	https://www.linkedin.com/in/sschliebs/	cran, package, html, template, widgets	https://nz-stefan.shinyapps.io/cran-explorer/	https://github.com/nz-stefan/cran-explorer	https://rstudio.cloud/project/258634	A Shiny app to explore CRAN packages and their interdependencies using a custom HTML template and custom widgets.	cran-explorer	yes	2019	Runner up	This app is one of the runers up of the 2019 Shiny Contest. There are plenty of Shiny apps for exploring CRAN metadata, but none of them look as striking as this one by nz-stefan! This is a really nice example of HTML Template usage; the separation between the R UI and the raw HTML UI is extremely clean.	Yes	Yes	https://community.rstudio.com/t/25669	nz-stefan	Technology	No	NA
Visual Abstracts for Original Research	Matthew Kumar	https://matt-kumar.shinyapps.io/portfolio	rintrojs	https://matt-kumar.shinyapps.io/visabs	https://rstudio.cloud/project/168943	https://rstudio.cloud/project/168943	"An R-Shiny application to create visual abstracts for original research studies.

"	visual-abstracts	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/21530	MattKumar	Research	No	NA
Identifying real estate investment opportunities	Philipp Reiner	NA	map, real estate	https://phillyo.shinyapps.io/intelligentsia/	https://github.com/phillyo/intelligentsia	https://rstudio.cloud/spaces/12117/join?access_code=ZeyeNeU3a%2F1N4Nu3tQf25Xyf7cujhM01KxYwFNI2	Intelligentsia's aim is to provide residential real estate investors with a home value appreciation forecast for neighborhoods within New York City. Our solution ranks NYC census tracts by likelihood of gentrification. A plethora of data were acquired and analyzed to create the Intelligentsia model. Among those data sets are ACS/Census data, Google Search Trends, Yelp ratings, NYC TLC taxicab trips, NYC Subway network and stations, residents’ travel time to work and various datasets from NYC Open Data.	real-estate-investment	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/25278	phillyo	Consulting	Yes	Description is available in GitHub Repo at https://github.com/phillyo/intelligentsia/blob/master/README.md
An App to Visualize and Share My Dogs' Medical History	Jenna Allen	https://www.jennadallen.com/	pet-records, database, aws	https://jennadallen.shinyapps.io/pet-records-app/	https://github.com/jennaallen/dog_days	https://rstudio.cloud/project/168716	A shiny app to keep track of and share pet records with vets. Used SQLite and AWS S3 to store data about my dogs' vaccination and medical records.	dog-medical-history	yes	2019	Winner	Pet Records s the winner of the Awwww award of the 2019 Shiny Contest. Jenna, who describes herself as a digital nomad traveling with two dogs, Layla and Lloyd, has built this app for keeping track of her dogs' medical and vaccine records. The timeline visualizations in the app are extremely effective, and the amount you can drill down ? all the way to vaccine certificates and exam notes in PDF format!	Yes	Yes	https://community.rstudio.com/t/21511	jallen1006	Miscellaneous	No	NA
tidytuesday.rocks: A #TidyTuesday Tweet Catalogue	Neal Grantham	https://nsgrantham.com	tidytuesday, r4ds, ggplot2, tidyverse, rtweet, twitter	https://nsgrantham.shinyapps.io/tidytuesdayrocks/	https://github.com/nsgrantham/tidytuesdayrocks	https://rstudio.cloud/project/246977	Tidy Tuesday is a weekly social data project in R where users explore a new dataset each week and share their findings on Twitter with #TidyTuesday. tidytuesday.rocks collects and organizes all #TidyTuesday tweets so it's easy to see how users approached each dataset: the questions they asked, the plots they made, and the code they wrote. Use tidytuesday.rocks to learn from the friendly and talented Tidy Tuesday community and inspire your next great data visualization!	tidy-tuesday	yes	2019	Runner up	"This app is one of the runers up of the 2019 Shiny Contest. If you haven't heard of #TidyTuesday, you're missing out on one of the most dynamic virtual events in the R community. The tidytuesday.rocks app is a tastefully minimalist interface for exploring previous weeks' datasets and community submissions for visualizations.
"	Yes	Yes	https://community.rstudio.com/t/25205	nsgrantham	Miscellaneous	No	NA
National Hockey League Play-by-Play App	Howard Baik	NA	tidyverse, gganimate, ggplot2, sports, hockey, nhl, play-by-play	https://jsonbaik.shinyapps.io/nhl-pbp/	https://github.com/howardbaik/nhl-pbp	https://rstudio.cloud/project/217132	"The NHL PBP App is your #1 destination for interactively visualizing shot data for all games from 07/08 season to 18/19 season.
"	nhl-play-by-play	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/23831	jsonbaik	Sports	No	NA
App showing the birth locations of all players in the 2018 FIFA World Cup	Phil Straforelli	NA	leaflet, maps	https://allezcannes.shinyapps.io/Soccer_squads/	https://github.com/AllezCannes/WorldCupSquads	https://rstudio.cloud/project/167480	Each player selected to play in the 2018 FIFA World Cup have their birthplaces located on a Leaflet map, displayed in the flag of the player's national team. The tooltip over the icon shows the name of the player, and clicking on the icon displays further information as well as the player's Wikipedia page.	fifa-births	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/20983	phil	Sports	No	NA
The ten most similar players - Pro Evolution Soccer 2019	Thiago	https://github.com/ThiagoValentimMarques	soccer	https://thiago-valentim.shinyapps.io/project/	https://github.com/ThiagoValentimMarques/The-ten-most-similar-players-Pro-Evolution-Soccer-2019	https://rstudio.cloud/project/258570	This app is an interactive tool that allows any user to choose a soccer player from the game and find the ten players most similar whith him.	soccer-player-similarity	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25679	ThiagoMadrid	Sports	No	NA
ShinyMRI - View MRI images in Shiny	Hao Zhuname	https://zhuhao.org	bioimaging, 3dplot	https://haozhu233.shinyapps.io/shinyMRI-contest/	https://github.com/hebrewseniorlife/shinyMRI-contest	https://rstudio.cloud/project/186453	This app visualizes 3D MRI images interactively using pure R shiny mechanism.	mri-images	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/23995	haozhu233	Healthcare	No	NA
A Dashboard for Conference Tweets	Garrick Aden-Buie	https://garrickadenbuie.com	twitter, rtweet, social media	https://gadenbuie.shinyapps.io/tweet-conf-dash/	https://github.com/gadenbuie/tweet-conf-dash	https://rstudio.cloud/spaces/12362/project/258314	A Shiny app for tracking tweets around conferences and events. With a leader board and tools for exploring tweets sent with a conference hashtag, users can stay up to date with the online conversation, or explore the action after the fact.	conference-tweet-dashboard	yes	2019	Runner up	"This app is one of the runners up of the 2019 Shiny Contest. We have fond memories of rstudio::conf 2019, but nostalgia isn't the only thing going for this dashboard by Garrick Aden-Buie. There are a lot of great tweets we missed the first time around, and we added some new follows. We also loved the Top Emoji plot.
"	Yes	Yes	https://community.rstudio.com/t/25745	grrrck	Miscellaneous	No	An API key is required for admins setting up the dashboard to connect with Twitter via rtweet.
Stock Portfolio Monitor	Shawn Linname	https://xiaolianglin.com	finance, portofolio	https://shawnlin.shinyapps.io/porfact-shiny/	https://github.com/shawnlinxl/porfact-shiny	https://rstudio.cloud/project/237960	Portfolio management through Rshiny.	stock-portfolio-monitor	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/25746	xiaolianglin	Finance	No	NA
Interactive Button Styler	Emil Hvitfeldt Hansen	https://www.hvitfeldt.me	css, html	https://emilhvitfeldt.shinyapps.io/project/	https://rstudio.cloud/project/210622	https://rstudio.cloud/project/210622	Interactively change the css attributes of elements on a page with sliders and buttons.	button-styler	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/23453	Emilhvitfeldt	Shiny	No	NA
